1962 BANGALORE BAKERY SWEETS
Abhivruddi Dry Fruits house(old)
ADITHYA MART
ALURU ENTERPRISES bypass
AMARAVATHI HOME FOODS
AMRUTHA HYPER MART
ASHA PURA GENERAL STORES OLD TOWN
ASHOK PATEL GENERAL STORES
AVENUESUPERMARTS LTD
AVENUESUPERMARTS LTD  2
B B BANGALORE BAKERY   bullary road
B B BANGLORE BAKERY
B SUBRAMANYAM OLD TOWN
BABU PUJA STORES P.W.C
BADHRI PWC
Bangalore Ayangar Bakery
BANGALORE BAKERY S B ROAD
Bangalore Bred Bakery
Baskar Reddy Dmvm
BHAVANI FOODS
BHUCHAIAH SWEETS
BHUCHAIAH SWEETS SAPTHAGIRI CIRCLE
BHUVAN KUMAR AGENCIES
BUCHAIAH SWEET CORNER
CAKE MAGIC
CHAITHANYA TRADERS
Chandana Traders
City Bakery gooty road
CRAJY SUPER MART
D K ENTERPRISES (PAVITHRA H/M)
Daimand  Super Market
Damage
DEVI SRI BAKERY
EAT NATURALS
FARMERS MART
FARMERS MART 2
FRUIT SHOP
G G MEDICAL
GAMPAMALA G/S G BAZAR
GATIKA CHALAM
GOVARDHAN G/S
GURU RAGAVENDRA P/S  OLD TOWN
HANUMAN G/S 1 ST ROAD
Hanuman Pooja Stores
Hareesh Bakery Bullary Road
Hari Prasad
HARISH BAKERY
HINGLAJ KIRANA
INDIAN STORES
ISKCON
Jai Mahadev Masala Stores
JAI THEJ GENARAL
JAKEER GENERAL STORES
JANATHA M/S
Jaya Narayana G/s
JOSHNA  GENERAL STORE
K G N Bakery
K K  gift & noveltes
K RAMANJANEYULU G BAZAR
KAMAL  FANCY STORES KAMALA NAGAR
KAMAL KIRANA THILAK ROAD
KAREEM  GENERAL STORE
Kavitha Trading
KESHAVA  M/S
KETHANA PRIYA FOOD PRODUCT
KNC CAKE HOUSE
KRISHNA MEDICAL
KUMBA  MART
KUMBA  MART (OLD)
L J BL BAKERY RTC
LAKSHMI KIRANA OLD TOWN
LAKSHMI MEDICAL
Lalithambika Pathanjali Stores
LINGAREDDY G/S
M KRISHNAMOORTHY
M M Ali G/s
M R THAJA MART
M S R NATURALS
M.M.ALI STORES
M.T.R G BAZAR
M.T.R. PROVISIONAL STORES
MAA METRO STORES
MAA METRO STORES 2
Madhuram Home Foods
MAHADEV GENERAL STORES
MAHALAKSHMI PUJA STORES
MAharaja  trading
MAHESH TRADERS
Mallikarjuna Milk Dairy
MANIKHANTA SUPER STORES
Maruthi Bakery KLD
MARUTHI BAKERY THAPOVANAM
MARUTHI GENERAL STORES
MOURYA SUPER MART
MURAGAN GENERAL STORES
MUTHU GENERAL  G BAZAR
MY VAJRA HYPER MART
NEW CITY BAKERY  BUSTAND
NEW KAMAL COSMETICS
NISARGH MILLETS
OMKAR BANGALORE BAKERY
Orion Mart
P.G.R G/S
Padma Enterprises
PADMAVATHI G/S
PADUCHUR SWEETS
PASUPALA SUPER STORES
PASUPALA SUPER STORES RAM NAGAR
PATHANJALI STORES
Pathanjali Stores Court Road
Pavan Fruit Shop
Pavan Stores
PRAMOD SWAGRUHA SWEETS
PRASAD
PRASANTHI HYPER MART
R P SHOPPEE
R R BANGALORE BAKERY
R.K. MILK DAIRY
RADHA RAMANI STORES
RAGHAVENDRA
RAGHU PWC
RAJA RAVI G/S
RAMA CHITAMBER TRADERS
RAMDEV KIRANA
RANGANATHA GNARAL
RAYAL BAKERY
Renuka Genaral Stores
RUPA M/S
S L V Ayangar B L Bekary  S D
S L V ayangar bakery BKS
S S BANGALORE BAKERY
S.L.V  AYANGAR BAKERY
S.L.V  ayangar bakery  KLD
S.L.V GENERAL   KLD  ROAD
S.L.V GENERAL   thilak road
S.P. SUPER STORES
S.P. SUPER STORES  Ram nagar
Safa Book Stoll
SAHASRA ORGANIC STORES
SAI GOKUL SUPER BAZAR
SAI GOKUL SUPER BAZAR ( OLD)
SAI HARIKA SUPER MARKET
Sai Harshitha Medical
SAI NAGENDRA G/S P.W.C
Sai Vasthalya Medical
SAPTHAGIRI P/s STORE
SARATH KUMAR K NAGAR
Saravana Super Market
SASIDHAR ENTERPRISES  vidyuth nagar
SASIDHAR ENTERPRISES (JNTU)
SATHYANARAYANA G/S PWC
SATHYANARAYANA G/S ram nagar
SETHU  GENERAL STORES
SHABARI MALLAI PUJA STORES
SHANTHARAM RTO
SHIRDI SAI RAMNAGAR
Shiridi Sai  Sweets Bakers & Caterers
Shiva Sainath Medical jntu
SIDDARTH BAKERY
Siddi Vinayaka Medical
SIVA SAI TRADERS THILAK ROAD
SIVA SAINATH  MEDICAL STORE
